campaign_id,region,channel,target_audience,budget_eur
DE-001,EMEA,Paid Social,Immersed PC Gamers,45000
DE-002,EMEA,Programmatic,Esports Aspirants,38000
DE-003,EMEA,Search,Student Gamers,29000
DE-004,EMEA,Retail Media,Performance Creators,22000
DE-005,EMEA,Paid Social,Immersed PC Gamers,52000
DE-006,EMEA,YouTube,Esports Aspirants,18000
DE-007,EMEA,Search,Student Gamers,15000
DE-008,EMEA,Programmatic,Cloud Casual,12000
DE-009,EMEA,Retail Media,Console Gamers,9000
DE-010,EMEA,Paid Social,Performance Creators,17000
